989,om,1339399,1107,31352,802,11026,0,14,"Tweetbot for iOS"
1378,MParekh,14606,6441,9771,365,594,0,5,"Tweet Button"
2539,m0bilitee,143,280,532,32,1,0,0,"StockTwits Web"
5357,Daman,1082,920,6815,140,23,0,0,YoruFukurou
6134,bratinella,976,201,13145,167,18,0,0,web
7259,DaveO,966,370,2510,132,54,0,0,"Twitter for iPhone"
10152,BearsGoodFruit,73,208,124,8,1,0,0,"StockTwits Web"
10766,OffBeatMammal,541,181,13582,0,19,0,0,"Twitter for Windows Phone"
12350,iankennedy,1954,426,7121,200,121,0,1,"Safari on iOS"
12740,kevinmccann,1332,760,4693,4,64,0,0,"Twitter for iPhone"
13152,DTrain,309,557,6724,58,5,0,0,iOS
13407,evanwolf,2881,3175,5990,1279,154,0,0,Buffer
13621,toddbarnard,828,206,13634,10910,65,0,0,web
17913,ryanmcraver,690,319,9977,1038,10,1,1,"Twitter for iPad"
46713,Robbie,8732,2519,22881,425,53,0,0,YoruFukurou
53953,cote,6582,1876,22440,980,466,0,0,"Tweetbot for iOS"
58363,CPtte,1275,661,20386,26,44,0,3,TweetDeck
66993,sbisson,4142,2255,27907,31,337,0,0,TweetDeck
76133,tim,52325,5833,17372,1177,1710,0,4,web
78733,JimAyson,5120,2975,41960,60,245,0,0,Flipboard
78783,misc,3534,3703,55243,44886,172,0,0,YoruFukurou
202003,pkafka,41464,843,27508,1531,1792,9,1,web
624413,MarketWatch,684948,139,35487,12,12159,113,752,SocialFlow
627363,trevin,1279,1286,11479,265,65,0,0,"Safari on iOS"
640593,seanoliver,416,660,7843,109,6,0,0,Buffer
654773,zenmatt,1558,414,5346,13,96,0,0,"Tweetbot for iOS"
662773,dweekly,7576,2199,7984,497,497,0,0,web
666043,danielpunkass,12919,422,52647,2569,1123,0,0,"Tweetbot for Mac"
703953,forsie,1784,522,12409,961,46,0,0,"Twitter for iPhone"
723123,Firehed,506,338,5221,33,30,0,0,web
734733,karlus,1509,312,27094,120,60,0,0,"Twitter for iPhone"
741803,znmeb,9999,3759,94163,1963,856,1,0,web
752823,DASKAjA,689,216,22664,1721,36,0,0,"Tweetbot for Mac"
754897,wallstreet,9061,47,2092,0,231,2,2,niceupdater
755389,foxmachia,1084,60,42924,58,32,0,0,"Tweetbot for iOS"
770550,rakeshlobster,7629,1423,29959,3417,332,0,6,web
772667,benjaminchait,728,522,2438,130,65,0,0,"Tweetbot for iOS"
774675,stevegarfield,30349,23928,77984,268,2451,1,0,"Twitter for iPhone"
777781,werty,754,589,3453,265,25,0,0,"Tweet Button"
782392,alphabachelor,159,58,5355,0,4,0,0,"Tweetbot for Mac"
783144,jasonmcminn,193,210,1220,69,5,0,0,"Twitter for iPhone"
788537,guydickinson,350,143,4772,60,13,0,0,Buffer
791857,Psychs,3326,311,14154,841,220,0,0,"Twitter for Mac"
